Velocity,"FuturLab
Curve Studios (PC)",FuturLab,0,Single-player
Peggle 2,PopCap Games,Electronic Arts,0,"Single-player, multiplayer"
The Dark Eye: Demonicon,Noumena Studios,Kalypso Media,0,Single-player
Killer Instinct,"Double Helix Games[1][2]
Iron Galaxy Studios[3]
Rare Ltd.[4]
Microsoft Studios[5][6]",Microsoft Studios,0,"Single-player, multiplayer"
LocoCycle,Twisted Pixel Games,Microsoft Studios,0,"Single-player, multiplayer"
Ryse: Son of Rome,Crytek Frankfurt,"Microsoft Studios (Xbox One)
Crytek (PC digital)
Deep Silver (PC retail)",0,"Single-player, multiplayer"
Rayman Origins,"Ubisoft Montpellier,
Feral Interactive (Mac OS X)[1]","Ubisoft
Feral Interactive (Mac OS X)",0,"Single-player, co-op"
God of War: Ascension,SCE Santa Monica Studio[1],Sony Computer Entertainment,0,"Single-player, multiplayer[4]"
Neverwinter,Cryptic Studios,Perfect World Entertainment,0,Multiplayer
The Walking Dead: Survival Instinct,Terminal Reality,Activision,0,Single-player
Resogun,Housemarque,Sony Computer Entertainment,0,"Single-player, multiplayer"
R.I.P.D. The Game,Old School Games,Atlus,0,No data
ArcaniA,"Spellbound Entertainment
Black Forest Games
(PS3 & X360)","JoWooD Entertainment
DreamCatcher Interactive",0,Single-player
Minecraft,"Mojang
4J Studios (console versions[1])","Mojang (PC, Mobile)
Microsoft Studios (Xbox 360, Xbox One, Windows Phone)
Sony Computer Entertainment (PS3, PS4, PS Vita)",0,"Single-player, multiplayer"
Minecraft,"Mojang
4J Studios (console versions[1])","Mojang (PC, Mobile)
Microsoft Studios (Xbox 360, Xbox One, Windows Phone)
Sony Computer Entertainment (PS3, PS4, PS Vita)",0,"Single-player, multiplayer"
Mega Man X,Capcom,"Capcom

NA Majesco (re-release)[1]
EU Nintendo",0,Single-player
A Kingdom for Keflings,NinjaBee,Microsoft Studios,0,"Single-player, multiplayer (online, LAN, Xbox Live)"
Star Trek,Digital Extremes,Namco Bandai Games[1],0,"Single-player, multiplayer"
Batman: Arkham Origins,Warner Bros. Games Montréal,Warner Bros. Interactive Entertainment,0,"Single-player, multiplayer"
